toxicity,category,tag,text
0.636,Blackmail,filtered,"Your secrets aren't so safe, if you know what I mean..."
0.651,Blackmail,filtered,Your parents wouldn't be too happy to know about that. If you don't do what I tell you maybe I'll let it slip.
0.629,Blackmail,filtered,"You wouldn't want me to do something about that, would you?"
0.658,Blackmail,filtered,"You know I've seen what you've done, don't you?"
0.731,Blackmail,filtered,"Listen to me, or I'll tell your husband what you did."
0.702,Blackmail,filtered,"Invite me to the party, or I'll tell him what happened with us."
0.832,Blackmail,filtered,"If you go through with the divorce, I'll make sure you never see our children again"
0.766,Blackmail,filtered,"I’ll always love you, but if you don’t give me back the jewelry I’m going to tell your secrets to everyone."
0.557,Blackmail,filtered,I know your secrets.
0.499,Blackmail,filtered,I know you have a secret tattoo.
0.461,Blackmail,filtered,I know what you did last summer.
0.636,Blackmail,filtered,I know what you did and I'm going to tell everyone about it.
0.737,Blackmail,filtered,I have pictures that you wouldn't want to see online.
0.598,Blackmail,filtered,Don't make me reveal what I know.
0.658,Blackmail,filtered,"Do as I say, or else."
0.702,Blackmail,unfiltered,If you don't send me money I'll post your pictures.
0.731,Blackmail,unfiltered,You should do as I say. If your wife were to know about this she would probably leave you.
0.769,Blackmail,unfiltered,"Do you want your kids to find out what you did? I would think very carefully about saying ""no"" to me."
0.673,Blackmail,unfiltered,If you want to keep this a secret give me what I asked for.
0.667,Blackmail,unfiltered,Your secret can be our secret as long as you do what I tell you.
0.804,Blackmail,unfiltered,"If this goes out in the open it would destroy your family, better to give me the money I asked for."
0.702,Blackmail,unfiltered,I can be very discrete about what you did as long as I get something in exchange.
0.766,Blackmail,unfiltered,"If you cross me one more time, it's not going to be pretty when your secret gets out."
0.699,Blackmail,unfiltered,You should be nice to me or who knows what I might do.
0.795,Blackmail,unfiltered,Give me the money or I'll tell your kids who the real father is.
0.83,Classism,filtered,You can’t have big dreams with a minimum wage work ethic.
0.861,Classism,filtered,Why do poor people have so many kids? It’s not like they can give them a good life.
0.664,Classism,filtered,"Why are we having cheap red wine? What are we, poor?"
0.847,Classism,filtered,Why are there so many homeless people lying around on the subway? They’re in my way.
0.804,Classism,filtered,Why are poor people so lazy?
0.702,Classism,filtered,Who wears hand-me-downs on the first day of class? It's embarrassing.
0.664,Classism,filtered,Who doesn't have enough money to go on a vacation at least twice a year?
0.867,Classism,filtered,People who rely on Social Security are a burden to society.
0.83,Classism,filtered,Of course I think I’m superior to that cab driver! I’m educated.
0.902,Classism,filtered,Low-income people sometimes smell bad. It's probably because they don't have enough money to buy soap.
0.969,Classism,filtered,Low-income people shouldn't be allowed in this forum.
0.795,Classism,filtered,"If he was smart, he wouldn’t be a car mechanic."
0.858,Classism,filtered,I don't want you spending time with those low-income kids. Their bad manners will rub off on you.
0.896,Classism,filtered,I don't understand why I have to pay taxes to feed lazy low-income families.
0.858,Classism,filtered,Being poor is a decision people make.
0.757,Classism,unfiltered,She's from middle America - of course she didn't go to college.
0.83,Classism,unfiltered,"If he had an education and a good family, he wouldn't have to drive a food delivery truck."
0.861,Classism,unfiltered,Why do poor people want us to feel sorry for them? They chose their own life.
0.693,Classism,unfiltered,I guess she can't afford to stay home with the kids while her husband works.
0.543,Classism,unfiltered,I can't believe that's what he wore on the first day of work. Doesn't he have something nicer?
0.546,Classism,unfiltered,He never wants to come skiing with me; he says it's too expensive and he has to work. Really? 
0.673,Classism,unfiltered,Obviously he isn't a biomedical engineer - he's from rural Alabama.
